Round,Cohort,Age,Cage,Sex,numMice,startDate,startTime,cageType,trialType,Cam,fileName_video,fileName_ANSI,cageColor,Extender,H2O_bottle,filterPaper,file_Size,video_dur
1,C1,Old,746,F,3,8/3/2022,10:27:44 AM,home,Record,Pi1,Pi1__08-03-2022_10.27.44__0.h264,08032022_10.27.44_Pi1_C1_746_home.txt,red,Y,N,N,,
1,C1,Old,746,F,3,8/3/2022,10:28:33 AM,latrine,Record,Pi3,Pi3__08-03-2022_10.28.33__0.h264,08032022_10.28.33_Pi3_C1_746_latrine.txt,red,N,N,Y,,
1,C1,Old,747,M,2,8/3/2022,10:27:52 AM,home,Record,Pi2,Pi2__08-03-2022_10.27.52__0.h264,08032022_10.27.52_Pi2_C1_747_home.txt,red,Y,N,N,,
1,C1,Old,747,M,2,8/3/2022,10:29:03 AM,latrine,Record,Pi4,Pi4__08-03-2022_10.29.03__0.h264,08032022_10.29.03_Pi4_C1_747_latrine.txt,red,N,N,Y,,
1,C2,Old,791,M,5,8/18/2022,8:21:20 AM,home,Record,Pi8,Pi8__08-18-2022_08.21.20__0.h264,08182022_08.21.20_Pi8_C2_791_home.txt,red,N,N,N,,
1,C2,Old,791,M,5,8/18/2022,8:25:50 AM,latrine,Record,Pi7,Pi7__08-18-2022_08.25.50__0.h264,08182022_08.25.50_Pi7_C2_791_latrine.txt,red,N,N,Y,,
1,C2,Old,791,M,5,8/20/2022,6:44:09 AM,home,Record,Pi8,Pi8__08-20-2022_06.44.09__0.h264,08202022_06.44.09_Pi8_C2_791_home.txt,red,N,N,N,,
1,C2,Old,791,M,5,8/20/2022,6:43:06 AM,latrine,Record,Pi7,Pi7__08-20-2022_06.43.06__0.h264,08202022_06.43.06_Pi7_C2_791_latrine.txt,red,N,N,Y,,
1,C2,Old,792,M,3,8/17/2022,6:08:03 PM,home,Record,Pi9,Pi9__08-17-2022_18.08.03__0.h264,08172022_18.08.03_Pi9_C2_792_home.txt,red,N,N,N,,
1,C2,Old,792,M,3,8/18/2022,8:21:40 AM,latrine,Record,Pi10,Pi10__08-18-2022_08.21.40__0.h264,08182022_08.21.40_Pi10_C2_792_latrine.txt,red,N,N,Y,,
1,C2,Old,792,M,3,8/20/2022,6:46:48 AM,home,Record,Pi9,Pi9__08-20-2022_06.46.48__0.h264,08202022_06.46.48_Pi9_C2_792_home.txt,red,N,N,N,,
1,C2,Old,792,M,3,8/20/2022,6:40:15 AM,latrine,Record,Pi10,Pi10__08-20-2022_06.40.15__0.h264,08202022_06.40.15_Pi10_C2_792_latrine.txt,red,N,N,Y,,
1,C3,Young,875,M,4,10/27/2022,6:29:07 AM,home,Record,Pi9,Pi9__10-27-2022_06.29.07__0.h264,10272022_06.29.07_Pi9_C3_875_home.txt,red,N,Y,N,,
1,C3,Young,875,M,4,10/27/2022,6:30:00 AM,latrine,Record,Pi8,Pi8__10-27-2022_06.30.00__0.h264,10272022_06.30.00_Pi8_C3_875_latrine.txt,red,N,N,Y,,
1,C3,Young,875,M,4,10/29/2022,6:16:00 AM,home,Ctrl,Pi9,Pi9__10-29-2022_06.16.00__0.h264,10292022_06.16.00_Pi9_C3_875_home.txt,red,N,Y,Y,,
1,C3,Young,875,M,4,10/29/2022,6:31:34 AM,latrine,Ctrl,Pi8,Pi8__10-29-2022_06.31.34__0.h264,10292022_06.31.34_Pi8_C3_875_latrine.txt,red,N,N,Y,,
1,C3,Young,876,M,4,10/27/2022,6:41:02 AM,home,Record,Pi5,Pi5__10-27-2022_06.41.02__0.h264,10272022_06.41.02_Pi5_C3_876_home.txt,red,N,Y,N,,
1,C3,Young,876,M,4,10/27/2022,6:38:05 AM,latrine,Record,Pi7,Pi7__10-27-2022_06.38.05__0.h264,10272022_06.38.05_Pi7_C3_876_latrine.txt,red,N,N,Y,,
1,C3,Young,876,M,4,10/29/2022,6:29:46 AM,home,Ctrl,Pi5,Pi5__10-29-2022_06.29.46__0.h264,10292022_06.29.46_Pi5_C3_876_home.txt,red,N,Y,Y,,
1,C3,Young,876,M,4,10/29/2022,6:43:51 AM,latrine,Ctrl,Pi7,Pi7__10-29-2022_06.43.51__0.h264,10292022_06.43.51_Pi7_C3_876_latrine.txt,red,N,N,Y,,
1,C4,Old,81,F,4,9/23/2023,7:06:17 AM,home,Record,Pi2,Pi2__09-23-2023_07.06.17__0.h264,09232023_07.06.17_Pi2_C4_81_home.txt,red,N,Y,N,,
1,C4,Old,81,F,4,9/23/2023,7:05:29 AM,latrine,Record,Pi1,Pi1__09-23-2023_07.05.29__0.h264,09232023_07.05.29_Pi1_C4_81_latrine.txt,red,N,N,Y,,
1,C5,Old,82,F,2,10/4/2023,6:09:00 AM,home,Record,Pi2,Pi2__10-04-2023_06.09.00__0.h264,10042023_06.09.00_Pi2_C5_82_home.txt,red,N,Y,N,,
1,C5,Old,82,F,2,10/4/2023,6:10:07 AM,latrine,Record,Pi1,Pi1__10-04-2023_06.10.07__0.h264,10042023_06.10.07_Pi1_C5_82_latrine.txt,red,N,N,Y,,
1,C5,Old,83,M,2,10/4/2023,6:08:54 AM,home,Record,Pi4,Pi4__10-04-2023_06.08.54__0.h264,10042023_06.08.54_Pi4_C5_83_home.txt,red,N,Y,N,,
1,C5,Old,83,M,2,10/4/2023,6:07:50 AM,latrine,Record,Pi3,Pi3_10-04-2023_06.07.50_0.h264,10042023_06.07.50_Pi3_C5_83_latrine.txt,red,N,N,Y,157.4,40
1,C6,Young,84,F,4,10/25/2023,6:06:11 AM,home,Record,Pi2,Pi2__10-25-2023_06.06.11__0.h264,10252023_06.06.11_Pi2_C6_84_home.txt,red,N,Y,N,,
1,C6,Young,84,F,4,10/25/2023,6:02:11 AM,latrine,Record,Pi1,Pi1__10-25-2023_06.02.11__0.h264,10252023_06.02.11_Pi1_C6_84_latrine.txt,red,N,N,Y,,
1,C6,Young,84,F,4,10/27/2023,6:20:48 AM,home,Ctrl,Pi2,Pi2__10-27-2023_06.20.48__0.h264,10272023_06.20.48_Pi2_C6_84_home.txt,red,N,Y,Y,,
1,C6,Young,84,F,4,10/27/2023,6:20:26 AM,latrine,Ctrl,Pi1,Pi1__10-27-2023_06.20.26__0.h264,10272023_06.20.26_Pi1_C6_84_latrine.txt,red,N,N,Y,,
1,C6,Young,85,F,4,10/25/2023,6:06:44 AM,home,Record,Pi4,Pi4__10-25-2023_06.06.44__0.h264,10252023_06.06.44_Pi4_C6_85_home.txt,red,N,Y,N,,
1,C6,Young,85,F,4,10/25/2023,6:07:28 AM,latrine,Record,Pi3,Pi3_10-25-2023_06.07.28_0.h264,10252023_06.07.28_Pi3_C6_85_latrine.txt,red,N,N,Y,,
1,C6,Young,85,F,4,10/27/2023,6:19:28 AM,home,Ctrl,Pi4,Pi4__10-27-2023_06.19.28__0.h264,10272023_06.19.28_Pi4_C6_85_home.txt,red,N,Y,Y,,
1,C6,Young,85,F,4,10/27/2023,6:19:59 AM,latrine,Ctrl,Pi3,Pi3_10-27-2023_06.19.59_0.h264,10272023_06.19.59_Pi3_C6_85_latrine.txt,red,N,N,Y,,
2,C8,Young,86,M,3,4/23/2024,6:33:53 PM,home,Record,Pi1,Pi1__04-23-2024_18.33.53__0.h264,04232024_18.33.53_Pi1_C8_86_home.txt,red,N,Y,N,,
2,C8,Young,86,M,3,4/23/2024,6:35:12 PM,latrine,Record,Pi2,Pi2__04-23-2024_18.35.12__0.h264,04232024_18.35.12_Pi2_C8_86_latrine.txt,clear,N,N,Y,,
2,C8,Young,86,M,3,4/25/2024,5:58:49 PM,home,Ctrl,Pi1,Pi1__04-25-2024_17.58.49__0.h264,04252024_17.58.49_Pi1_C8_86_home.txt,red,N,Y,Y,,
2,C8,Young,86,M,3,4/25/2024,5:59:34 PM,latrine,Ctrl,Pi2,Pi2__04-25-2024_17.59.34__0.h264,04252024_17.59.34_Pi2_C8_86_latrine.txt,clear,N,Y,Y,,
2,C8,Young,87,M,3,4/23/2024,6:35:49 PM,home,Record,Pi3,Pi3_04-23-2024_18.35.49_0.h264,04232024_18.35.49_Pi3_C8_87_home.txt,red,N,Y,N,,
2,C8,Young,87,M,3,4/23/2024,6:36:35 PM,latrine,Record,Pi4,Pi4__04-23-2024_18.36.35__0.h264,04232024_18.36.35_Pi4_C8_87_latrine.txt,clear,N,N,Y,,
2,C8,Young,87,M,3,4/25/2024,6:00:38 PM,home,Ctrl,Pi3,Pi3_04-25-2024_18.00.38_0.h264,04252024_18.00.38_Pi3_C8_87_home.txt,red,N,Y,Y,,
2,C8,Young,87,M,3,4/25/2024,6:01:13 PM,latrine,Ctrl,Pi4,Pi4__04-25-2024_18.01.13__0.h264,04252024_18.01.13_Pi4_C8_87_latrine.txt,clear,N,N,Y,,
2,C8,Young,88,F,3,4/23/2024,6:37:26 PM,home,Record,Pi5,Pi5__04-23-2024_18.37.26__0.h264,04232024_18.37.26_Pi5_C8_88_home.txt,red,N,Y,N,,
2,C8,Young,88,F,3,4/23/2024,6:38:45 PM,latrine,Record,Pi9,Pi9__04-23-2024_18.38.45__0.h264,04232024_18.38.45_Pi9_C8_88_latrine.txt,clear,N,N,Y,43.8,11.5
2,C8,Young,88,F,3,4/25/2024,6:01:56 PM,home,Ctrl,Pi5,Pi5__04-25-2024_18.01.56__0.h264,04252024_18.01.56_Pi5_C8_88_home.txt,red,N,Y,Y,,
2,C8,Young,88,F,3,4/25/2024,7:01:25 PM,latrine,Ctrl,Pi9,Pi9__04-25-2024_19.01.25__0.h264,04252024_19.01.25_Pi9_C8_88_latrine.txt,clear,N,N,Y,,
2,C9,Young,89,F,3,4/27/2024,6:18:50 PM,home,Record,Pi3,Pi3_04-27-2024_18.18.50_0.h264,04272024_18.18.50_Pi3_C9_89_home.txt,red,N,Y,N,,
2,C9,Young,89,F,3,4/27/2024,6:17:49 PM,latrine,Record,Pi4,Pi4__04-27-2024_18.17.49__0.h264,04272024_18.17.49_Pi4_C9_89_latrine.txt,clear,N,N,Y,,
2,C9,Young,89,F,3,5/2/2024,6:17:27 PM,home,Ctrl,Pi3,Pi3_05-02-2024_18.17.27_0.h264,05022024_18.17.27_Pi3_C9_89_home.txt,red,N,Y,Y,,
2,C9,Young,89,F,3,5/2/2024,6:19:25 PM,latrine,Ctrl,Pi4,Pi4__05-02-2024_18.19.25__0.h264,05022024_18.19.25_Pi4_C9_89_latrine.txt,clear,N,N,Y,,
2,C9,Old,90,M,3,4/27/2024,6:19:41 PM,home,Record,Pi5,Pi5__04-27-2024_18.19.41__0.h264,04272024_18.19.41_Pi5_C9_90_home.txt,red,N,Y,N,,
2,C9,Old,90,M,3,4/27/2024,6:17:38 PM,latrine,Record,Pi9,Pi9__04-27-2024_18.17.38__0.h264,04272024_18.17.38_Pi9_C9_90_latrine.txt,clear,N,N,Y,,
2,C9,Old,90,M,3,5/2/2024,6:23:28 PM,home,Ctrl,Pi5,Pi5__05-02-2024_18.23.28__0.h264,05022024_18.23.28_Pi5_C9_90_home.txt,red,N,Y,Y,155.8,48
2,C9,Old,90,M,3,5/2/2024,6:28:39 PM,latrine,Ctrl,Pi9,Pi9__05-02-2024_18.28.39__0.h264,05022024_18.28.39_Pi9_C9_90_latrine.txt,clear,N,N,Y,,
2,C9,Old,1106,F,3,4/27/2024,6:18:32 PM,home,Record,Pi1,Pi1__04-27-2024_18.18.32__0.h264,04272024_18.18.32_Pi1_C9_1106_home.txt,red,N,Y,N,,
2,C9,Old,1106,F,3,4/27/2024,6:19:06 PM,latrine,Record,Pi2,Pi2__04-27-2024_18.19.06__0.h264,04272024_18.19.06_Pi2_C9_1106_latrine.txt,clear,N,N,Y,,
2,C9,Old,1106,F,3,5/2/2024,6:14:25 PM,home,Ctrl,Pi1,Pi1__05-02-2024_18.14.25__0.h264,05022024_18.14.25_Pi1_C9_1106_home.txt,red,N,Y,Y,,
2,C9,Old,1106,F,3,5/2/2024,6:15:30 PM,latrine,Ctrl,Pi2,Pi2__05-02-2024_18.15.30__0.h264,05022024_18.15.30_Pi2_C9_1106_latrine.txt,clear,N,N,Y,,
2,C10,Old,91,M,3,5/6/2024,6:03:06 PM,home,Record,Pi3,Pi3_05-06-2024_18.03.06_0.h264,05062024_18.03.06_Pi3_C10_91_home.txt,red,N,Y,N,,
2,C10,Old,91,M,3,5/6/2024,6:04:10 PM,latrine,Record,Pi4,Pi4__05-06-2024_18.04.10__0.h264,05062024_18.04.10_Pi4_C10_91_latrine.txt,red,N,N,Y,,
2,C10,Old,91,M,3,5/8/2024,5:54:29 PM,home,Ctrl,Pi3,Pi3_05-08-2024_17.54.29_0.h264,05082024_17.54.29_Pi3_C10_91_home.txt,red,N,Y,N,,
2,C10,Old,91,M,3,5/8/2024,5:54:07 PM,latrine,Ctrl,Pi4,Pi4__05-08-2024_17.54.07__0.h264,05082024_17.54.07_Pi4_C10_91_latrine.txt,red,N,N,Y,,
2,C10,Old,92,M,3,5/6/2024,6:02:08 PM,home,Record,Pi1,Pi1__05-06-2024_18.02.08__0.h264,05062024_18.02.08_Pi1_C10_92_home.txt,red,N,Y,N,,
2,C10,Old,92,M,3,5/6/2024,6:03:07 PM,latrine,Record,Pi2,Pi2__05-06-2024_18.03.07__0.h264,05062024_18.03.07_Pi2_C10_92_latrine.txt,red,N,N,Y,,
2,C10,Old,92,M,3,5/8/2024,5:55:33 PM,home,Ctrl,Pi1,Pi1__05-08-2024_17.55.33__0.h264,05082024_17.55.33_Pi1_C10_92_home.txt,red,N,Y,N,,
2,C10,Old,92,M,3,5/8/2024,5:54:42 PM,latrine,Ctrl,Pi2,Pi2__05-08-2024_17.54.42__0.h264,05082024_17.54.42_Pi2_C10_92_latrine.txt,red,N,N,Y,,
2,C10,Old,93,F,3,5/6/2024,6:05:10 PM,home,Record,Pi5,Pi5__05-06-2024_18.05.10__0.h264,05062024_18.05.10_Pi5_C10_93_home.txt,red,N,Y,N,,
2,C10,Old,93,F,3,5/6/2024,6:05:08 PM,latrine,Record,Pi9,Pi9__05-06-2024_18.05.08__0.h264,05062024_18.05.08_Pi9_C10_93_latrine.txt,clear,N,N,Y,,
2,C10,Old,93,F,3,5/8/2024,5:53:38 PM,home,Ctrl,Pi5,Pi5__05-08-2024_17.53.38__0.h264,05082024_17.53.38_Pi5_C10_93_home.txt,red,N,Y,N,,
2,C10,Old,93,F,3,5/8/2024,5:51:50 PM,latrine,Ctrl,Pi9,Pi9__05-08-2024_17.51.50__0.h264,05082024_17.51.50_Pi9_C10_93_latrine.txt,clear,N,N,Y,,
2,C11,Old,94,F,3,5/14/2024,5:56:08 PM,home,Record,Pi9,Pi9__05-14-2024_17.56.08__0.h264,05142024_17.56.08_Pi9_C11_94_home.txt,red,N,Y,N,144.9,48
2,C11,Old,94,F,3,5/14/2024,6:00:00 PM,latrine,Record,Pi5,Pi5__05-14-2024_17.55.40__0.h264,05142024_17.55.40_Pi5_C11_94_latrine.txt,clear,N,N,Y,,
2,C11,Old,95,M,3,5/14/2024,6:00:00 PM,home,Record,Pi4,Pi4__05-14-2024_17.54.49__0.h264,05142024_17.54.49_Pi4_C11_95_home.txt,red,N,Y,N,158,40
2,C11,Old,95,M,3,5/14/2024,6:00:00 PM,latrine,Record,Pi3,Pi3_05-14-2024_17.54.19_0.h264,05142024_17.54.19_Pi3_C11_95_latrine.txt,clear,N,N,Y,157.6,40
2,C11,Old,1253,F,3,5/14/2024,5:53:59 PM,home,Record,Pi2,Pi2__05-14-2024_17.53.59__0.h264,05142024_17.53.59_Pi2_C11_1253_home.txt,red,N,Y,N,,
2,C11,Old,1253,F,3,5/14/2024,5:53:35 PM,latrine,Record,Pi1,Pi1__05-14-2024_17.53.35__0.h264,05142024_17.53.35_Pi1_C11_1253_latrine.txt,clear,N,N,Y,,
2,C11,Old,1253,F,3,5/16/2024,6:27:34 PM,home,Ctrl,Pi2,Pi2__05-16-2024_18.27.34__0.h264,05162024_18.27.34_Pi2_C11_1253_home.txt,red,N,Y,Y,,
2,C11,Old,1253,F,3,5/16/2024,6:27:02 PM,latrine,Ctrl,Pi1,Pi1__05-16-2024_18.27.02__0.h264,05162024_18.27.02_Pi1_C11_1253_latrine.txt,clear,N,N,Y,,
2,C12,Young,2158,F,3,5/19/2024,6:24:50 PM,home,Record,Pi2,Pi2__05-19-2024_18.24.50__0.h264,05192024_18.24.50_Pi2_C12_2158_home.txt,red,N,Y,N,,
2,C12,Young,2158,F,3,5/19/2024,6:24:23 PM,latrine,Record,Pi1,Pi1__05-19-2024_18.24.23__0.h264,05192024_18.24.23_Pi1_C12_2158_latrine.txt,clear,N,N,Y,,
2,C12,Young,2158,F,3,5/21/2024,6:07:16 PM,home,Ctrl,Pi2,Pi2__05-21-2024_18.07.16__0.h264,05212024_18.07.16_Pi2_C12_2158_home.txt,red,N,Y,Y,,
2,C12,Young,2158,F,3,5/21/2024,6:06:31 PM,latrine,Ctrl,Pi1,Pi1__05-21-2024_18.06.31__0.h264,05212024_18.06.31_Pi1_C12_2158_latrine.txt,clear,N,N,Y,,
2,C12,Young,2159,F,3,5/19/2024,6:25:31 PM,home,Record,Pi4,Pi4__05-19-2024_18.25.31__0.h264,05192024_18.25.31_Pi4_C12_2159_home.txt,red,N,Y,N,,
2,C12,Young,2159,F,3,5/19/2024,6:25:11 PM,latrine,Record,Pi3,Pi3_05-19-2024_18.25.11_0.h264,05192024_18.25.11_Pi3_C12_2159_latrine.txt,clear,N,N,Y,,
2,C12,Young,2159,F,3,5/21/2024,6:08:47 PM,home,Ctrl,Pi4,Pi4__05-21-2024_18.08.47__0.h264,05212024_18.08.47_Pi4_C12_2159_home.txt,red,N,Y,Y,,
2,C12,Young,2159,F,3,5/21/2024,6:07:59 PM,latrine,Ctrl,Pi3,Pi3_05-21-2024_18.07.59_0.h264,05212024_18.07.59_Pi3_C12_2159_latrine.txt,clear,N,N,Y,,
2,C12,Young,2160,M,3,5/19/2024,6:26:47 PM,home,Record,Pi9,Pi9__05-19-2024_18.26.47__0.h264,05192024_18.26.47_Pi9_C12_2160_home.txt,red,N,Y,N,,
2,C12,Young,2160,M,3,5/19/2024,6:26:08 PM,latrine,Record,Pi5,Pi5__05-19-2024_18.26.08__0.h264,05192024_18.26.08_Pi5_C12_2160_latrine.txt,clear,N,N,Y,,
2,C12,Young,2160,M,3,5/21/2024,6:10:56 PM,home,Ctrl,Pi9,Pi9__05-21-2024_18.10.56__0.h264,05212024_18.10.56_Pi9_C12_2160_home.txt,red,N,Y,Y,,
2,C12,Young,2160,M,3,5/21/2024,6:09:33 PM,latrine,Ctrl,Pi5,Pi5__05-21-2024_18.09.33__0.h264,05212024_18.09.33_Pi5_C12_2160_latrine.txt,clear,N,N,Y,,
2,C12,Young,2161,M,3,5/19/2024,6:28:07 PM,home,Record,Pi10,pi10__05-19-2024_18.28.17__0.h264,05192024_18.28.17_Pi10_C12_2161_home.txt,red,N,Y,N,,
2,C12,Young,2161,M,3,5/19/2024,6:27:26 PM,latrine,Record,Pi8,Pi8__05-19-2024_18.27.26__0.h264,05192024_18.27.26_Pi8_C12_2161_latrine.txt,clear,N,N,Y,,
2,C12,Young,2161,M,3,5/21/2024,4:42:48 PM,home,Ctrl,Pi10,pi10__05-21-2024_18.11.01__0.h264,05212024_18.11.01_Pi10_C12_2161_home.txt,red,N,Y,Y,,
2,C12,Young,2161,M,3,5/21/2024,6:10:28 PM,latrine,Ctrl,Pi8,Pi8__05-21-2024_18.10.28__0.h264,05212024_18.10.28_Pi8_C12_2161_latrine.txt,clear,N,N,Y,,