Age,Sex,Mouse_ID,Period,Amplitude,Chi2
Young,F,247,23.98,6546.70,1610.50
Young,F,248,23.98,6068.23,1610.50
Young,F,249,23.98,6103.44,1610.50
Young,F,250,23.98,6580.28,1610.50
Young,F,251,23.98,5752.56,1610.50
Young,F,252,23.98,5107.11,1610.50
Young,M,1,23.80,5614.27,1598.86
Young,M,2,24.00,8710.19,1611.55
Young,M,3,24.00,9727.84,1611.55
Young,M,4,24.00,8889.43,1611.55
Young,M,5,24.00,7264.05,1611.55
Young,M,6,24.00,7974.34,1611.55
Young,M,9,24.00,7164.85,1611.55
Old,F,1,23.98,4449.60,1610.50
Old,F,DL_9,24.00,3541.02,1611.55
Old,F,DL_11,24.00,3693.63,1611.55
Old,M,8,24.00,7291.65,1611.55
Old,M,DL_6,24.00,4930.77,1611.55
Old,M,DL_7,24.00,6885.53,1611.55